open,close,low,high,volume
69830.14,69960.89,69830.13,69921.43,54.37469
69921.43,69931.68,69879.35,69931.68,89.92248
69931.67,69981.8,69875.43,69892.94,165.36657
69892.95,69951.24,69848.1,69901.61,86.48723
69901.61,69965.65,69874.8,69948.63,43.92074
69948.64,69955.66,69759.63,69766.74,72.73093
69766.74,70012.24,69766.74,69973.75,53.69246
69973.75,70083.69,69903.72,70050.08,55.5361
70050.08,70060.5,69867.87,70028.25,195.20232
70028.26,70114.45,69954.99,70066.26,53.57709
70066.26,70161.2,70028.84,70055.16,59.63306
70055.16,70055.16,69868.3,69893.41,59.73275
69893.42,70011.64,69863.75,69928.36,38.23868
69928.37,69928.37,69807.5,69838.71,44.56755
69838.71,70003.52,69838.71,69973.24,31.0396
69973.24,70173.25,69973.24,70116.09,48.72593
70116.1,70145.32,70029.65,70044.87,16.25314
70044.87,70098.08,69978.59,70023.63,41.64094
70023.63,70117.34,70019.04,70068.43,32.15732
70068.44,70144.0,70028.22,70033.02,329.27293
70033.01,70138.56,69966.33,70119.27,114.96811
70119.27,70129.97,70002.0,70006.8,167.03019
70006.8,70095.72,69975.54,70095.71,69.77861
70095.71,70099.0,70018.74,70060.7,66.47152
70060.71,70060.71,69880.0,69901.62,32.73683
69901.62,69975.55,69886.04,69955.98,22.03132
69955.99,70007.99,69906.18,69990.53,22.89875
69990.52,70083.05,69990.52,70069.51,23.84995
70069.51,70127.0,70049.57,70071.26,24.41232
70071.26,70118.91,70044.03,70044.03,47.28748
70044.04,70119.59,70035.61,70035.62,56.01537
70035.61,70073.22,69991.29,69991.3,159.91349
69991.3,70045.93,69961.52,69961.52,216.51864
69961.53,70067.21,69919.29,69993.4,380.2718
69993.41,70003.82,69932.12,69968.58,26.96637
69968.59,69968.59,69784.59,69789.63,65.21969
69789.62,69838.01,69614.0,69699.87,80.6671
69699.87,69763.16,69620.75,69689.99,298.01435
69690.0,69727.53,69615.92,69719.44,48.28115
69719.44,69798.36,69661.19,69780.69,50.96888
69780.69,69873.6,69748.59,69810.72,182.75116
69810.73,69887.11,69669.88,69711.95,212.27003
69711.95,69774.4,69686.86,69726.0,52.43362
69725.99,69759.48,69674.41,69698.81,37.41003
69698.81,69711.36,69584.26,69584.27,42.3716
69584.26,69641.65,69499.35,69528.28,147.89165
69528.28,69560.47,69496.53,69527.22,47.64628
69525.65,69631.78,69512.73,69600.48,31.81724
69600.48,69612.08,69560.0,69611.42,38.68739
69611.41,69617.74,69524.99,69525.0,135.69721
69525.0,69632.8,69488.7,69569.32,261.25155
69569.31,69641.64,69556.29,69565.2,53.00616
69564.25,69579.02,69538.71,69551.91,52.93133
69551.91,69597.99,69501.55,69550.19,131.0237
69550.19,69550.19,69508.71,69549.91,26.63673
69549.91,69668.47,69547.9,69645.82,28.28367
69645.81,69744.88,69640.0,69729.98,40.33339
69729.98,69806.0,69713.72,69806.0,29.57224
69806.0,69986.81,69793.66,69980.15,177.08619
69980.15,70006.26,69919.83,70006.26,58.0532
70006.26,70035.24,69920.52,69958.24,48.95366
69958.24,70018.3,69925.99,69995.01,39.47086
69995.01,70058.64,69978.27,70041.67,36.95462
70041.67,70281.87,70041.66,70241.11,107.46682
70241.1,70241.1,70120.05,70130.99,35.58092
70130.99,70200.96,70095.48,70132.46,40.81931
70132.46,70139.32,70000.1,70000.11,40.53724
70000.1,70039.36,70000.1,70007.62,32.67127
70007.62,70020.63,69950.9,69950.9,21.66074
69950.91,69966.08,69880.0,69951.33,32.51085
69951.33,69969.64,69920.14,69943.67,17.50354
69943.67,69954.93,69865.69,69947.92,191.72504
69947.92,69947.92,69769.22,69769.23,38.99526
69769.23,69769.23,69420.0,69538.41,181.12465
69538.42,69570.88,69486.37,69547.66,66.83212
69547.66,69625.92,69547.66,69572.01,58.00671
69572.01,69602.61,69500.0,69510.36,35.42705
69510.37,69670.0,69500.01,69648.5,68.57352
69648.49,69648.49,69590.0,69594.41,24.72805
69594.42,69725.66,69594.41,69717.44,35.91878
69717.43,69819.67,69678.04,69765.55,49.19088
69765.56,69821.48,69765.55,69806.98,19.76052
69806.98,69816.61,69770.74,69804.18,18.47357
69804.19,69934.41,69804.19,69911.79,27.08166
69911.78,69911.79,69872.51,69897.86,15.99116
69897.86,69923.64,69818.0,69830.9,31.42141
69830.91,69830.91,69712.24,69741.02,23.07741
69741.03,69996.0,69741.02,69943.6,56.78538
69943.6,69966.59,69927.99,69950.01,20.73527
69950.01,70018.49,69881.25,69926.77,63.9319
69926.76,69945.49,69883.78,69907.98,13.34889
69907.97,69924.4,69888.0,69891.19,10.41621
69891.19,69908.75,69822.86,69843.38,59.87764
